agent_name,agency_name,company,agent_type,offers_auto,offers_home,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,AAA Manhattan,AAA Insurance (Auto Club Group),Captive,Yes,Yes,https://cluballiance.aaa.com/locations/aaa-stores/AG134/aaa-manhattan-321-southwind-road-manhattan,(785) 776-3131,,321 Southwind Rd,Manhattan,KS,Riley,66503,2026-08-24,"Google Places (name/address/phone/website confirmed via Place Details), cross-checked against existing Foursquare listing 'AAA Manhattan District Office' at the same address; direct fetch of ace.aaa.com branch locator returned HTTP 404. Branch office, no individual agent name listed; AAA sells personal auto and home insurance to members through this office"
,"Al Langton Insurance, Inc.",Independent / Multiple Carriers,Independent,Yes,Yes,https://langtonins.com,(785) 776-4091,,1014 Poyntz Ave Ste B,Manhattan,KS,Riley,66502,2026-08-24,Manhattan Area Chamber of Commerce member directory (insurance category); agency website confirms independent status and personal auto/home coverage
Bob Joyce,Bob Joyce Insurance Agency Inc,Farmers Insurance,Captive,Yes,Yes,https://agents.farmers.com/ks/manhattan/bob-joyce/,(785) 539-7323,,"8831 Quail Ln, Ste 204",Manhattan,KS,Riley,66502,2026-08-24,"agents.farmers.com/ks/manhattan locator, cross-verified against Google Places"
Brian Green,Brian Green: Allstate Insurance,Allstate,Captive,Yes,Yes,https://agents.allstate.com/brian-green-manhattan-ks.html,(785) 465-4276,,3202 Kimball Ave,Manhattan,KS,Riley,66503,2026-08-24,Google Places API (agents.allstate.com locator was Cloudflare-blocked / returned HTTP 403 with a JS challenge page); website URL confirmed as an official agents.allstate.com page
,Cardinal Insurance Services,Independent / Multiple Carriers,Independent,Yes,Yes,https://cardinalinsuranceservices.com,(785) 776-4825,,507 Leavenworth St,Manhattan,KS,Riley,66502,2026-08-24,"Verified via cardinalinsuranceservices.com (personal auto/home/farm/renters/life lines, self-described independent agent) plus web search confirming a Manhattan branch office at 507 Leavenworth St operating alongside the Junction City HQ; phone matches input record exactly. Email is Cloudflare-obfuscated on site and could not be extracted reliably."
,"Charlson & Wilson Insurance Agency (C & W Insurance Agency, Inc.)","Independent / Multiple Carriers (incl. Auto-Owners, Travelers, Progressive, Acuity)",Independent,Yes,Yes,https://charlsonwilson.com,(785) 537-1600,,"555 Poyntz Avenue, Suite 205",Manhattan,KS,Riley,66502,2026-08-24,Manhattan Area Chamber of Commerce member directory (insurance category); agency website lists 16+ carrier partners and Auto/Home insurance product pages
,Copeland Insurance Agency,Independent / Multiple Carriers,Independent,Yes,Yes,https://copelandins.com,(785) 776-0089,info@copelandins.com,"601 S 5th St, Suite B",Manhattan,KS,Riley,66502,2026-08-24,"Manhattan Area Chamber of Commerce directory + Google Places, cross-checked against agency website (Auto/Home/Renters insurance listed; renters insurance relevant to K-State student market)"
,Copeland Insurance Agency (Riley branch),Independent / Multiple Carriers,Independent,Yes,Yes,https://copelandins.com,(785) 485-2101,,111 S Broadway St,Riley,KS,Riley,66531,2026-08-24,"Google Places (branch office listing) cross-checked against Copeland Insurance Agency website, which confirms independent status and personal Auto/Home coverage company-wide"
,Cura Insurance,Independent / Multiple Carriers,Independent,Yes,Yes,https://curains.com,(785) 370-0722,service@curains.com,"120 N. 4th Street, Suite E",Manhattan,KS,Riley,66502,2026-08-24,Manhattan Area Chamber of Commerce directory; agency website confirms shops 'dozens of A-rated carriers' and lists Auto/Home/Renter's coverage (renters insurance relevant to K-State student market)
,Dillon Insurance Agency,Independent / Multiple Carriers,Independent,Yes,Yes,https://www.dillon-insurance.com,(785) 539-3048,coledillon.dia@gmail.com,527 Fort Riley Blvd,Manhattan,KS,Riley,66502,2026-08-24,"Google Places + Foursquare, cross-checked against agency website which states 'As an independent agency...' and lists Home Insurance and Auto Insurance"
