agent_name,agency_name,company,agent_type,website,phone_number,email,street_address,city,state,county,zip_code,date_pulled,source
,Agency Insurance Associates Inc,"Independent (American Family Insurance, Progressive, Liberty Mutual, Travelers, Safeco, Acuity)",Independent,,(913) 299-1904,,"8160 Parallel Pkwy, Suite 101",Kansas City,KS,Wyandotte,66112,2026-08-23,"Found via Brave Search (proxied through r.jina.ai) for insurance agencies near Michelle Dissmeyer's American Family office; consistent address (8160 Parallel Pkwy, Suite 101 - distinct suite from Dissmeyer's Ste 102) and phone (913-299-1904) returned across two independent Brave queries pulling from aggregated Facebook/Yelp/directory data. Corroborated as a real, distinct business via its own Facebook business page (facebook.com/agencyinsurace/), whose page title confirms 'Agency Insurance Associates | Kansas City KS' (full page content blocked by Facebook login wall, so email/deborah_hand@sbcglobal.net found in aggregator summaries was NOT included since it could not be independently confirmed). Description consistently states it sells 'Insurance for Auto, Renters, Homeowners, Motorcycle, Boats, Commercial Bonds and more' as an independent broker representing American Family, Progressive, Liberty Mutual, Travelers, Safeco, and Acuity - confirming personal auto insurance offering. No dedicated agency website was found, so website field left blank rather than publish an unconfirmed link."
Edwin (Ed) Alft,Alft Insurance Agency - Metro,American National Insurance,Captive,https://www.americannational.com/agent?s=edalft-1848,(913) 334-6100,,7835 Parallel Pkwy,Kansas City,KS,Wyandotte,66112,2026-08-23,"Superpages listing (address/phone) cross-verified against American National's own official agent page (americannational.com/agent?s=edalft-1848), which confirms Edwin Alft as a Kansas City, KS agent at this exact address, with Life, Homeowners, and Auto insurance offered as a captive American National agent (34 years of experience per his bio)."
Chris Rhodes,American Family Insurance - Chris Rhodes,American Family Insurance,Captive,,(913) 788-9713,,10207 Leavenworth Rd,Kansas City,KS,Wyandotte,66109,2026-08-23,"Zip 66109 confirms Kansas City, KS. Name follows AmFam's standard branded-agent naming convention; original amfam.com subdomain in source data no longer resolves (AmFam migrated domains since data was collected), so website left blank rather than publishing a dead link. American Family is a single-carrier captive offering personal auto."
,Auto Insurance Discounters,"Assurance America, Dairyland, Geico, GuideOne, Hanover, Hartford, Kemper Specialty, National General, Nationwide, Progressive, Traders, Travelers",Independent,https://www.autoinsdiscounters.com/,(913) 371-2255,,4038 State Ave,Kansas City,KS,Wyandotte,66102,2026-08-23,"Zip 66102 (parsed from full address string) confirms Kansas City, KS. Verified via autoinsdiscounters.com, which lists this exact 4038 State Ave, Kansas City, KS office among its locations and confirms it is an independent multi-carrier agency comparing the listed carriers."
Elis Umana,Conexion Insurance Agency,Independent / Multiple Carriers (50+ carriers),Independent,https://conexionins.com,(913) 490-9050,contact@conexionins.com,"6000 Leavenworth Rd, Suite N",Kansas City,KS,Wyandotte,66104,2026-08-23,"Web search + agency website (conexionins.com) confirming KS-licensed independent broker model ('we work with 50+ carriers'), personal auto insurance, and address on Leavenworth Rd (KCK side)"
David Pierce,David Pierce Insurance Agency,American Family Insurance,Captive,https://www.amfam.com/agents/kansas/bonner-springs/david-pierce,(913) 441-0033,,13100 Kansas Ave Ste D,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"American Family official agent page (amfam.com/agents/kansas/bonner-springs/david-pierce), cross-verified against Google Places listing at same address/phone"
Don Swanson,Don Swanson - State Farm Insurance Agent,State Farm,Captive,https://www.swansoninsurancekc.com,(913) 334-1702,,7415 Leavenworth Road,Kansas City,KS,Wyandotte,66109,2026-08-23,"State Farm official agent locator (statefarm.com/agent/us/ks/kansas-city and agent's individual page); address confirmed on KS side (66109, Wyandotte County), not Kansas City, MO"
,Dusil Insurance Agency,Independent / Multiple Carriers (incl. Travelers),Independent,,(913) 422-2096,,303 E 2nd St,Bonner Springs,KS,Wyandotte,66012,2026-08-23,"Yelp business listing (categorized as 'Insurance Broker' and 'Independent Insurance Agent') + Dun & Bradstreet profile confirming address, personal auto insurance, and long-standing local operation since 1957; no working agency website was found"
Dustin Stock,Dustin Stock - Farmers Insurance,Farmers Insurance,Captive,,(913) 621-3200,dstock@farmersagent.com,100 S 10th St,Kansas City,KS,Wyandotte,66102,2026-08-23,"Superpages business listing with address, phone, and a personalized farmersagent.com email address (dstock@farmersagent.com), a strong signal of an active, real Farmers-branded agent. The live agents.farmers.com/ks/kansas-city/dustin-stock page redirected to a generic city listing during this session's fetch (same inconsistent redirect behavior also seen on an already-verified Farmers agent URL), so the website field was left blank rather than publish an unconfirmed link. Farmers is a single-carrier captive offering personal auto."
,Ekberg Insurance Agency,Independent / Multiple Carriers (unspecified),Independent,,(913) 371-6128,,1301 Central Ave,Kansas City,KS,Wyandotte,66102,2026-08-23,"Corroborated by two independent sources: OpenStreetMap community business tag (office=insurance, same address/phone) and a Superpages business listing (same address, phone, and matching fax 913-371-6150). No captive-brand affiliation found, so classified Independent per standard small-agency naming convention. Domain ekberginsurance.com now resolves to a parked/for-sale placeholder page (confirmed both live and via a Feb 2026 Wayback Machine snapshot), so website was left blank rather than publishing a dead link."
